Year	SeaLevel
1917.7917	-35.88
1917.875	-34.46
1917.9583	-32.76
1918.0417	-32.82
1918.125	-37.13
1918.2083	-39.63
1918.2917	-41.45
1918.375	-38.31
1918.4583	-34.82
1918.5417	-32.48
1918.625	-31.24
1918.7083	-27.37
1918.7917	-29.18
1918.875	-29.13
1918.9583	-33.61
1919.0417	-34.31
1919.125	-36.15
1919.2083	-35.39
1919.2917	-33.47
1919.375	-33.36
1919.4583	-29.09
1919.5417	-31.13
1919.625	-28.46
1919.7083	-28.7
1919.7917	-29.91
1919.875	-29.28
1919.9583	-33.01
1920.0417	-33.72
1920.125	-38.08
1920.2083	-38.16
1920.2917	-35.69
1920.375	-29.93
1920.4583	-26.47
1920.5417	-24.6
1920.625	-27.82
1920.7083	-31.52
1920.7917	-33.83
1920.875	-35.48
1920.9583	-33.6
1921.0417	-34
1921.125	-31.63
1921.2083	-30.87
1921.2917	-30.04
1921.375	-27.18
1921.4583	-28.52
1921.5417	-30.32
1921.625	-37.01
1921.7083	-40.52
1921.7917	-40.78
1921.875	-41.01
1921.9583	-36.69
1922.0417	-36.76
1922.125	-33.1
1922.2083	-35.64
1922.2917	-35.38
1922.375	-33.88
1922.4583	-32.84
1922.5417	-36.14
1922.625	-38.89
1922.7083	-39.75
1922.7917	-37.12
1922.875	-32.28
1922.9583	-30.32
1923.0417	-32.13
1923.125	-35.14
1923.2083	-33.97
1923.2917	-27.79
1923.375	-23.58
1923.4583	-25.82
1923.5417	-31.71
1923.625	-35.07
1923.7083	-33.19
1923.7917	-32.49
1923.875	-34.92
1923.9583	-38.99
1924.0417	-40.06
1924.125	-35.92
1924.2083	-36.81
1924.2917	-35.42
1924.375	-37.94
1924.4583	-39.34
1924.5417	-41.33
1924.625	-41.55
1924.7083	-41.03
1924.7917	-40.83
1924.875	-41.53
1924.9583	-42.85
1925.0417	-41.34
1925.125	-40.97
1925.2083	-40.76
1925.2917	-42.41
1925.375	-40.43
1925.4583	-41.35
1925.5417	-41.71
1925.625	-41.91
1925.7083	-41.68
1925.7917	-40.71
1925.875	-41.58
1925.9583	-37.44
1926.0417	-40.03
1926.125	-40.67
1926.2083	-43.99
1926.2917	-42.97
1926.375	-40.15
1926.4583	-37.21
1926.5417	-34.74
1926.625	-28.65
1926.7083	-28.78
1926.7917	-25.26
1926.875	-31.73
1926.9583	-32.24
1927.0417	-34.68
1927.125	-32.43
